Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
SV	Branch-based	54	113956991	271872116	328514696	56866925	27645865	27551003	27660180	4270323	0	93045049	234	93044989	954152	952204	45570272
SV	Branch-based	55	113930790	271849091	328514611	56863483	27663985	27561713	27660041	4269934	0	93045046	206	93044990	954098	952204	45570272
SV	Branch-based	56	113948410	271910997	328514486	56886483	27645992	27556088	27668509	4270262	0	93045049	164	93044989	954039	952204	45570272
SV	Branch-based	57	113895071	271845441	328514359	56914556	27610495	27550416	27653784	4270132	0	93045046	122	93044990	953788	952204	45570272
SV	Branch-based	58	113949350	271827607	328514003	56872974	27653633	27532485	27637161	4270393	0	93045055	3	93044989	953691	952204	45570272
SV	Branch-avoiding	0	114163961	272234512	332322822	44102394	24692501	23020268	24720233	4213026	7	93045047	952208	47474718	1037231	952204	45570272
SV	Branch-avoiding	1	114133261	272211403	332322821	44060652	24731673	23013956	24672068	4212626	6	93045053	952208	47474718	1037171	952204	45570272
SV	Branch-avoiding	2	114149831	272130431	332322822	44032245	24723510	23012139	24659356	4212696	3	93045047	952208	47474718	1037128	952204	45570272
SV	Branch-avoiding	3	114150111	272238902	332322822	44081043	24694475	22993260	24660244	4212634	6	93045050	952208	47474717	1037149	952204	45570272
SV	Branch-avoiding	4	114149101	272146184	332322821	44107573	24663190	23043837	24714148	4212524	2	93045047	952208	47474718	1037132	952204	45570272
SV	Branch-avoiding	5	114150341	272257057	332322822	44116560	24708924	23034737	24676199	4212444	3	93045050	952208	47474717	1037182	952204	45570272
SV	Branch-avoiding	6	114132561	272269882	332322821	44060641	24653958	23020749	24671399	4212421	6	93045050	952208	47474718	1037112	952204	45570272
SV	Branch-avoiding	7	114139471	272194148	332322823	44074596	24677733	23002232	24679692	4212867	1	93045047	952208	47474718	1037144	952204	45570272
SV	Branch-avoiding	8	114647393	272131687	332322821	44064160	24693001	23006678	24680041	4212466	2	93045050	952208	47474717	1037137	952204	45570272
SV	Branch-avoiding	9	114089960	272146968	332322822	44037988	24714333	23028422	24631306	4213062	3	93045047	952208	47474718	1037170	952204	45570272
SV	Branch-avoiding	10	114109521	272194690	332322822	44057259	24689121	22995199	24672653	4212730	4	93045050	952208	47474717	1037111	952204	45570272
