Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.ROB	Stall.RAT	Stall.MEC	Stall.AnyRS	Loads.RehabQ	Stores.RehabQ	Loads.Retired	Stores.Retired	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	92	1275025	3068977	2809323	533128	866193	678062	867154	33081	733	796969	15994	788891	9898	8071	386370
BFS/TD	Branch-based	93	1261614	3022508	2790004	522264	857580	659035	856914	32602	874	791279	16358	783282	9785	7994	383642
BFS/TD	Branch-based	94	1341434	3105070	2846654	537819	886936	691763	885941	33281	963	807485	16372	799305	9954	8176	391472
BFS/TD	Branch-based	95	1297485	3110724	2846136	552863	871691	675478	874838	33503	938	807056	17030	798869	9979	8183	391247
BFS/TD	Branch-based	96	1345694	3226426	2965354	562742	914922	712514	915939	34747	1009	841030	17352	832512	10403	8512	407739
BFS/TD	Branch-based	97	1385555	3269286	3014087	569011	917451	716524	912128	35269	954	854728	17926	846051	10615	8673	414348
BFS/TD	Branch-based	98	1403914	3366652	3130371	575622	940210	736970	932087	36318	943	887966	17996	878999	10926	8960	430535
BFS/TD	Branch-based	99	1401655	3353422	3118976	574577	955172	743494	944653	36350	935	884814	17758	875816	11011	8995	428908
BFS/TD	Branch-based	100	1416195	3351791	3094209	562650	965052	754565	959564	36095	867	877763	17660	868883	10811	8876	425561
BFS/TD	Branch-based	101	1380654	3309565	3066203	559553	939505	734077	939155	35803	786	869877	17380	861043	10803	8827	421690
BFS/TD	Branch-based	102	1413905	3282603	3023754	556210	935163	740078	935417	35415	811	857900	16974	849210	10573	8687	415913
BFS/TD	Branch-based	103	1345425	3222646	2955791	560449	917860	707750	921435	34680	896	838441	17002	829953	10375	8484	406488
BFS/TD	Branch-based	104	1344574	3223727	2974048	556306	905430	708519	908409	34702	947	843308	17828	834803	10436	8498	408899
BFS/TD	Branch-based	105	1430075	3375812	3093159	574617	966472	755241	965400	36105	870	877528	17520	868614	10875	8911	425391
BFS/TD	Branch-based	106	1397305	3349171	3063423	569170	967766	746527	962785	36103	845	868848	17898	860087	10758	8757	421282
BFS/TD	Branch-based	107	1407364	3379358	3102092	583349	964602	748361	962053	36351	866	880136	17408	871183	10929	8946	426641
BFS/TD	Branch-based	108	1403565	3327025	3032525	582085	960878	743445	959135	35757	825	860336	17142	851632	10605	8701	417110
BFS/TD	Branch-based	109	1360934	3260389	2977673	577551	923132	721923	922209	35384	813	844915	16512	836343	10426	8568	409599
BFS/TD	Branch-based	110	1331125	3199572	2891259	576270	915018	708436	910875	34528	909	820201	16470	811942	10067	8253	397713
BFS/TD	Branch-based	111	1371474	3160531	2876866	567108	894933	690658	904801	33977	898	815915	16862	807679	10079	8232	395603
BFS/TD	Branch-based	112	1346805	3232828	2938277	569061	924824	716743	924817	34705	920	833213	17506	824781	10327	8428	403958
BFS/TD	Branch-based	113	1385715	3326400	3054387	579022	937648	729903	932517	35670	938	866172	18122	857416	10772	8750	419953
BFS/TD	Branch-based	114	1463934	3450913	3145253	601393	986873	759988	988076	37098	927	892349	17716	883287	11037	9058	432581
BFS/TD	Branch-based	115	1402665	3388981	3089323	586827	967220	744153	960333	36709	977	876445	17478	867583	10754	8855	424932
BFS/TD	Branch-based	116	1377865	3297776	3021991	578777	936162	721877	929638	35631	799	857637	16428	848898	10515	8736	415708
BFS/TD	Branch-based	117	1316714	3106013	2835314	548504	873139	683100	872437	33452	783	804436	15938	796221	10045	8211	389895
BFS/TD	Branch-based	118	1284144	3077420	2804962	541449	877420	685795	874029	32981	825	795390	16736	787417	9845	7966	385738
BFS/TD	Branch-based	119	1318505	3157626	2907884	560118	884566	686596	890385	34173	917	824868	16694	816500	10230	8365	399880
BFS/TD	Branch-based	120	1367044	3158577	2916395	548506	893052	703044	899523	33998	841	827105	17142	818757	10193	8344	401030
BFS/TD	Branch-based	121	1339785	3226828	2985716	559178	896985	704081	892431	34926	924	846712	17688	838137	10507	8568	410496
BFS/TD	Branch-based	122	1368244	3296602	3062395	552686	946341	735672	939299	35703	867	868884	17156	860040	10704	8841	421174
BFS/TD	Branch-based	123	1378555	3239318	2994102	561291	917112	708811	918637	35128	834	849262	17324	840683	10493	8575	411762
BFS/TD	Branch-based	124	1343645	3232226	2988349	550974	915899	715600	910577	34993	845	848245	15896	839579	10430	8659	411126
BFS/TD	Branch-based	125	1247144	2992819	2750320	514373	835139	653970	836564	32419	669	780528	14972	772580	9648	7945	378340
BFS/TD	Branch-based	126	1202314	2836433	2600779	482652	804700	630611	806092	30872	751	738048	14244	730561	9098	7483	357793
BFS/TD	Branch-based	127	1121863	2692827	2482073	460366	773239	604354	770372	29348	784	704311	13712	697185	8600	7119	341469
BFS/TD	Branch-based	128	1086324	2592222	2384151	457963	727258	570415	726283	28023	629	676406	13446	669550	8328	6853	327917
BFS/TD	Branch-based	129	1108454	2548363	2342430	439861	720443	564540	724128	27524	676	664611	13110	657887	8160	6720	322219
BFS/TD	Branch-based	130	1039853	2494412	2284729	438535	709120	559550	709931	26917	664	648077	13166	641521	7996	6552	314204
BFS/TD	Branch-based	131	1045294	2520991	2297176	439252	720040	568313	716756	26996	748	651538	13404	644951	8050	6580	315891
BFS/TD	Branch-based	132	1046103	2520864	2296328	429361	719970	564961	723196	27330	616	651478	13012	644776	8173	6699	315684
BFS/TD	Branch-based	133	1039874	2434862	2244262	428868	693222	536466	686420	26655	695	636730	12648	630223	7910	6503	308604
BFS/TD	Branch-based	134	997923	2392903	2191328	411930	685144	533760	683929	25841	525	621802	12130	615477	7762	6321	301413
BFS/TD	Branch-based	135	968193	2324792	2118333	405812	660089	519556	659596	25092	598	600816	12354	594747	7429	6062	291307
BFS/TD	Branch-based	136	981974	2355438	2150070	406638	671527	530065	669106	25178	617	609867	12424	603690	7520	6174	295666
BFS/TD	Branch-based	137	1009823	2390995	2166954	418323	690228	529409	690422	25370	611	614606	12634	608393	7667	6209	297983
BFS/TD	Branch-based	138	1008393	2412494	2198496	424007	687357	534075	685169	25885	674	623531	12872	617213	7708	6314	302288
BFS/TD	Branch-based	139	1013094	2438844	2238957	429767	681874	529983	676853	26141	587	635021	13082	628581	7966	6433	307853
BFS/TD	Branch-based	140	1050513	2521514	2295523	456229	716960	556696	718856	26968	730	650901	13768	644360	8047	6538	315637
BFS/TD	Branch-based	141	1133534	2606856	2396785	460238	730998	575611	735841	27945	706	679762	14048	672877	8451	6881	329553
BFS/TD	Branch-based	142	1117284	2687321	2448991	469422	745450	580055	757805	28726	733	694602	14272	687577	8559	7021	336763
BFS/TD	Branch-based	143	1127703	2698754	2488157	466393	758980	595896	762354	29052	690	705886	14090	698750	8743	7133	342237
BFS/TD	Branch-based	144	1117024	2674494	2449775	469507	756391	583068	747336	28622	666	695015	13838	687969	8570	7042	336938
BFS/TD	Branch-based	145	1126194	2643978	2421495	469070	743642	579477	753409	28188	692	686755	14216	679835	8533	6916	332997
BFS/TD	Branch-based	146	1133664	2715604	2477139	476388	775389	603165	772255	28808	650	702725	14118	695613	8702	7105	340697
BFS/TD	Branch-based	147	1124414	2695974	2461997	474833	762887	598150	763898	29034	643	698263	14412	691204	8668	7056	338541
BFS/TD	Branch-based	148	1159863	2736741	2510326	476167	776028	611965	777757	29409	775	712032	14552	704825	8787	7203	345205
BFS/TD	Branch-based	149	1143084	2756353	2535910	481374	778532	604865	771950	29869	815	719553	14090	712273	8796	7273	348859
BFS/TD	Branch-based	150	1119084	2676720	2450078	469065	757127	593219	757901	28777	723	695113	13810	688068	8594	7042	336987
BFS/TD	Branch-based	151	1091864	2618415	2404975	461500	733346	575788	737696	28486	635	682429	13292	675523	8377	6902	330855
BFS/TD	Branch-based	152	1100283	2535237	2322788	441536	711260	559836	711821	27470	574	659042	12984	652395	8131	6643	319550
BFS/TD	Branch-based	153	1027824	2469850	2251683	433713	704728	549272	700572	26552	636	638899	12536	632403	7835	6489	309708
BFS/TD	Branch-based	154	982383	2362313	2177720	416547	669180	510967	661217	25678	585	618092	11696	611824	7596	6265	299642
BFS/TD	Branch-based	155	922383	2216432	2039078	378405	632626	491203	631437	24035	472	578570	11346	572721	7111	5845	280511
BFS/TD	Branch-based	156	909963	2120321	1971367	364658	601946	468426	595144	23189	516	559481	10688	553807	6827	5670	271229
BFS/TD	Branch-based	157	837983	2004619	1867509	346037	560893	441905	558880	21705	482	529853	10478	524505	6521	5341	256907
BFS/TD	Branch-based	158	815733	1958574	1809198	332720	551397	434081	549079	21248	461	513673	9316	508434	6258	5236	248976
BFS/TD	Branch-based	159	736352	1770229	1626050	310229	499929	388977	497843	19258	457	461544	8658	456885	5553	4655	223783
BFS/TD	Branch-based	160	688122	1645499	1517466	291407	465457	358080	458674	17841	499	430443	8728	426113	5250	4326	208726
BFS/TD	Branch-based	161	696503	1622212	1503753	287226	444308	349005	453181	17767	441	426656	8434	422291	5302	4361	206780
BFS/TD	Branch-based	162	668552	1610305	1476950	274959	453094	356955	453675	17432	402	419061	8238	414843	5151	4214	203203
BFS/TD	Branch-based	163	636662	1526052	1423128	257441	427698	337199	426704	16780	367	403972	7538	399849	4989	4116	195804
BFS/TD	Branch-based	164	584012	1402002	1309573	238807	392522	313019	399851	15497	313	371769	6852	368000	4550	3766	180229
BFS/TD	Branch-based	165	534132	1282580	1192281	210739	377249	295838	372377	13979	296	338400	6404	334973	4137	3423	164059
BFS/TD	Branch-based	166	488841	1176682	1105943	198477	334705	260644	332060	13073	277	313970	5774	310767	3861	3199	152180
BFS/TD	Branch-based	167	449202	1085782	1017064	170633	315791	257443	317149	12249	296	288567	5690	285679	3495	2884	139951
BFS/TD	Branch-based	168	474142	1023818	994342	157476	276011	220343	283969	11682	311	282057	5718	279211	3464	2842	136759
BFS/TD	Branch-based	169	424331	1015096	989764	143121	290974	238204	283067	11658	275	280895	5382	278035	3479	2856	136157
BFS/TD	Branch-based	170	387661	955061	939672	121230	268992	219245	262200	11074	186	266814	4794	264119	3210	2688	129367
BFS/TD	Branch-based	171	333411	809652	827295	95184	218924	190107	222024	9493	156	234961	4094	232563	2882	2394	113883
BFS/TD	Branch-based	172	283131	679679	703429	73584	190475	159732	194009	8151	163	199821	3394	197773	2428	2044	96838
BFS/TD	Branch-based	173	233621	561903	587621	59517	158699	137615	156517	6726	148	166935	2806	165237	2003	1694	80920
BFS/TD	Branch-based	174	183641	437974	481207	39495	118999	102020	117050	5720	101	136849	1966	135446	1638	1400	66318
BFS/TD	Branch-based	175	125740	299761	334662	25035	82641	72410	83152	4117	32	95465	692	94481	1070	980	46256
BFS/TD	Branch-based	176	41340	99222	113721	8218	29091	20688	25257	1490	5	32500	104	32153	366	343	15729
BFS/TD	Branch-based	177	5180	12729	14937	1017	3256	2511	2771	199	0	4276	6	4223	53	49	2058
BFS/TD	Branch-avoiding	0	1420	2854	425	1	1415	753	2164	15	5	79	69	42	6	1	31
BFS/TD	Branch-avoiding	1	6240	16522	14513	154	4518	3340	5524	74	19	2467	2367	1251	46	31	1180
BFS/TD	Branch-avoiding	2	11880	29240	30153	0	5933	5084	6744	150	21	5111	4927	2587	83	59	2460
BFS/TD	Branch-avoiding	3	17360	41654	44275	413	10228	7883	10328	216	42	7498	7239	3793	114	84	3616
BFS/TD	Branch-avoiding	4	19280	46290	50729	143	10254	8039	10487	236	36	8583	8303	4339	126	91	4148
BFS/TD	Branch-avoiding	5	23240	56567	63035	91	12292	8941	11987	320	48	10662	10319	5389	152	112	5156
