Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
SV	Branch-avoiding	43	65042126	237452565	332322809	0	0	100277610	953367	0	47474705	952249	952204	45570272
SV	Branch-avoiding	44	65093527	228791917	332322809	0	0	100231571	953309	0	47474706	952246	952204	45570272
SV	Branch-avoiding	45	64409182	237345017	332322810	0	0	99936967	953299	0	47474705	952250	952204	45570272
SV	Branch-avoiding	46	67741544	235338495	332322809	0	0	100263132	953358	0	47474705	952254	952204	45570272
SV	Branch-avoiding	47	67053895	243791951	332322810	0	0	100179808	953292	0	47474706	952247	952204	45570272
SV	Branch-avoiding	48	66461686	232750954	332322810	0	0	100404571	953362	0	47474705	952246	952204	45570272
SV	Branch-avoiding	49	63147925	236690521	332322809	0	0	99811205	953321	0	47474706	952244	952204	45570272
SV	Branch-avoiding	50	67105773	222292332	332322809	0	0	100734048	953279	0	47474706	952246	952204	45570272
SV	Branch-avoiding	51	67100782	233401003	332322811	0	0	100285412	953283	0	47474705	952245	952204	45570272
SV	Branch-avoiding	52	65327928	229322179	332322810	0	0	99291697	953335	0	47474706	952246	952204	45570272
SV	Branch-avoiding	53	66242803	232690649	332322810	0	0	99885153	953348	0	47474705	952249	952204	45570272
SV	Branch-avoiding	54	66794745	232199213	332322809	0	0	100079428	953276	0	47474705	952246	952204	45570272
SV	Branch-avoiding	55	67451134	239570897	332322810	0	0	100814182	953307	0	47474705	952245	952204	45570272
SV	Branch-avoiding	56	66439006	229679267	332322809	0	0	100275172	953266	0	47474705	952248	952204	45570272
SV	Branch-avoiding	57	65758414	233018669	332322810	0	0	100258173	953283	0	47474706	952255	952204	45570272
SV	Branch-avoiding	58	65613414	230775460	332322810	0	0	100355760	953286	0	47474705	952247	952204	45570272
