Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.SB	Stall.LB	Loads.Dispatched	Stores.Dispatched	Stall.LDQ	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	90	745705	2619680	2831345	723	0	895288	41674	0	795147	14585	8190	389379
BFS/TD	Branch-based	91	734974	2697719	2761086	863	0	872674	42314	0	775176	13956	7917	379666
BFS/TD	Branch-based	92	764904	2602681	2809323	703	0	888381	42038	0	788891	14600	8071	386370
BFS/TD	Branch-based	93	750202	2705673	2790003	1317	0	877946	41973	0	783281	14527	7994	383642
BFS/TD	Branch-based	94	778912	2731264	2846655	1107	0	896441	41145	0	799305	14412	8176	391472
BFS/TD	Branch-based	95	767498	2785403	2846136	1132	0	899076	42593	0	798869	14710	8183	391247
BFS/TD	Branch-based	96	852661	2777449	2965353	689	0	932386	43346	0	832512	15184	8512	407739
BFS/TD	Branch-based	97	819142	2837379	3014087	1324	0	955182	46314	0	846051	15824	8673	414348
BFS/TD	Branch-based	98	869235	2969481	3130371	676	0	987643	46412	0	878999	15704	8960	430535
BFS/TD	Branch-based	99	820878	2898379	3118976	822	0	980856	45546	0	875815	15648	8995	428908
BFS/TD	Branch-based	100	841406	3123190	3094209	705	0	973173	46134	0	868883	15710	8876	425561
BFS/TD	Branch-based	101	808008	2932694	3066202	657	0	969648	45169	0	861044	15791	8827	421690
BFS/TD	Branch-based	102	858339	2999081	3023754	847	0	952224	44482	0	849209	15137	8687	415913
BFS/TD	Branch-based	103	794704	2787907	2955792	1012	0	935688	44237	0	829953	15174	8484	406488
BFS/TD	Branch-based	104	791943	2795988	2974047	1456	0	941669	46566	0	834803	15499	8498	408899
BFS/TD	Branch-based	105	851886	2969130	3093159	327	0	978767	44943	0	868613	15970	8911	425391
BFS/TD	Branch-based	106	826946	2894073	3063423	1120	0	961744	46373	0	860088	15893	8757	421282
BFS/TD	Branch-based	107	851785	2939577	3102091	1144	0	981823	45714	0	871183	16083	8946	426641
BFS/TD	Branch-based	108	828649	2861653	3032526	703	0	953981	44971	0	851631	15591	8701	417110
BFS/TD	Branch-based	109	817303	2808015	2977673	655	0	941269	43797	0	836343	15219	8568	409599
BFS/TD	Branch-based	110	774968	2820362	2891258	851	0	914321	42928	0	811941	14663	8253	397713
BFS/TD	Branch-based	111	784838	2736973	2876866	605	0	910892	44304	0	807680	14740	8232	395603
BFS/TD	Branch-based	112	806287	2922044	2938277	983	0	927113	45972	0	824781	14624	8428	403958
BFS/TD	Branch-based	113	851058	2924450	3054387	1769	0	966280	47731	0	857415	15204	8750	419953
