Algorithm	Implementation	Itetarion	Time	Cycles	Instructions	Loads.Retired	Stores.Retired	Stall.RS	Stall.SB	Stall.ROB	Branches	Mispredictions	Vertices	Edges
SV	Branch-avoiding	20	40812493	142821916	332322803	93045033	952208	43460697	0	0	47474699	788971	952204	45570272
SV	Branch-avoiding	21	40836331	142827995	332322803	93045033	952208	43312319	0	0	47474699	789112	952204	45570272
SV	Branch-avoiding	22	40845388	142760056	332322803	93045040	952208	43328059	0	0	47474700	788948	952204	45570272
SV	Branch-avoiding	23	40816861	142789872	332322803	93045033	952208	43332236	0	0	47474699	788842	952204	45570272
SV	Branch-avoiding	24	40918815	142822675	332322804	93045033	952208	43365238	0	0	47474699	789110	952204	45570272
SV	Branch-avoiding	25	40818660	142683090	332322803	93045033	952208	43351918	0	0	47474699	789213	952204	45570272
SV	Branch-avoiding	26	40853483	142686522	332322803	93045033	952208	43424919	0	0	47474699	789161	952204	45570272
SV	Branch-avoiding	27	40800999	142699266	332322803	93045040	952208	43352785	0	0	47474700	788840	952204	45570272
SV	Branch-avoiding	28	40815992	142746935	332322803	93045033	952208	43259612	0	0	47474699	785541	952204	45570272
SV	Branch-avoiding	29	40820887	142890955	332322804	93045033	952208	43338228	0	0	47474699	789035	952204	45570272
SV	Branch-avoiding	30	40823404	142763260	332322803	93045033	952208	43407847	0	0	47474699	789151	952204	45570272
SV	Branch-avoiding	31	40853305	142839926	332322803	93045033	952208	43380358	0	0	47474699	789294	952204	45570272
SV	Branch-avoiding	32	40832124	142683318	332322803	93045040	952208	43326823	0	0	47474700	788254	952204	45570272
SV	Branch-avoiding	33	40841541	142768879	332322803	93045001	952208	43304381	0	0	47474699	788776	952204	45570272
SV	Branch-avoiding	34	40852040	142768291	332322804	93045033	952208	43273721	0	0	47474699	789297	952204	45570272
SV	Branch-avoiding	35	40852143	142757463	332322803	93045033	952208	43233472	0	0	47474699	789206	952204	45570272
SV	Branch-avoiding	36	40862699	142721467	332322803	93045033	952208	43373094	0	0	47474699	789220	952204	45570272
SV	Branch-avoiding	37	40843104	142899841	332322803	93045033	952208	43250201	0	0	47474700	786041	952204	45570272
SV	Branch-avoiding	38	40834990	142731664	332322804	93045033	952208	43318896	0	0	47474699	789240	952204	45570272
SV	Branch-avoiding	39	40850349	142802636	332322803	93045033	952208	43269535	0	0	47474699	789246	952204	45570272
SV	Branch-avoiding	40	40836890	142699255	332322803	93045033	952208	43297827	0	0	47474699	789183	952204	45570272
SV	Branch-avoiding	41	40800786	142801206	332322803	93045040	952208	43334179	0	0	47474699	789105	952204	45570272
SV	Branch-avoiding	42	40821444	142774050	332322803	93045033	952208	43321476	0	0	47474700	788745	952204	45570272
SV	Branch-avoiding	43	40825715	142772606	332322804	93045033	952208	43404933	0	0	47474699	786363	952204	45570272
SV	Branch-avoiding	44	40795674	142724380	332322803	93045033	952208	43359174	0	0	47474699	789226	952204	45570272
SV	Branch-avoiding	45	40826564	142669218	332322803	93045033	952208	43320949	0	0	47474699	789158	952204	45570272
SV	Branch-avoiding	46	40826540	142712534	332322803	93045040	952208	43375955	0	0	47474700	789584	952204	45570272
SV	Branch-avoiding	47	40814932	142675980	332322803	93045033	952208	43334262	0	0	47474699	786705	952204	45570272
SV	Branch-avoiding	48	40831748	142750600	332322804	93045033	952208	43480496	0	0	47474699	787754	952204	45570272
SV	Branch-avoiding	49	40815361	142848553	332322803	93045033	952208	43243476	0	0	47474699	789023	952204	45570272
SV	Branch-avoiding	50	40844557	142686677	332322803	93045033	952208	43393195	0	0	47474699	788816	952204	45570272
SV	Branch-avoiding	51	40804019	142728808	332322803	93045040	952208	43390461	0	0	47474700	786236	952204	45570272
SV	Branch-avoiding	52	40837521	142776287	332322803	93045033	952208	43377081	0	0	47474699	789218	952204	45570272
SV	Branch-avoiding	53	40821764	142789439	332322804	93045033	952208	43367109	0	0	47474699	789157	952204	45570272
SV	Branch-avoiding	54	40835747	142840666	332322803	93045033	952208	43341097	0	0	47474699	789081	952204	45570272
SV	Branch-avoiding	55	40820715	142723864	332322803	93045033	952208	43348039	0	0	47474699	789237	952204	45570272
SV	Branch-avoiding	56	40831214	142831645	332322803	93045040	952208	43315166	0	0	47474700	789292	952204	45570272
SV	Branch-avoiding	57	40824246	142798425	332322804	93045023	952208	43358606	0	0	47474700	789206	952204	45570272
SV	Branch-avoiding	58	40813492	142760116	332322803	93045022	952208	43317083	0	0	47474699	788509	952204	45570272
