Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-avoiding	31	8499535	14517350	29128983	2383952	2	4686	45121	36348	2462615	30158	30165	2402274
BFS/TD	Branch-avoiding	32	7819124	13271808	26638221	2169069	1	2038	42330	32751	2251940	27487	27498	2196933
BFS/TD	Branch-avoiding	33	7316580	12459938	24991881	2026620	0	5917	39163	30653	2112974	25979	25980	2061003
BFS/TD	Branch-avoiding	34	6679442	11313095	22732041	1837806	0	4641	34943	27924	1922099	23783	23790	1874508
BFS/TD	Branch-avoiding	35	5904286	10013707	20018036	1635610	42	2264	33108	25525	1692382	20742	20748	1650876
BFS/TD	Branch-avoiding	36	5400490	9164812	18398540	1430835	0	2567	29759	23700	1555555	19141	19146	1517253
BFS/TD	Branch-avoiding	37	4863511	8255498	16550817	1277139	0	1561	27093	21723	1399409	17270	17286	1364826
BFS/TD	Branch-avoiding	38	4454094	7534284	15056216	1171214	67	833	24060	19043	1272835	15551	15552	1241721
BFS/TD	Branch-avoiding	39	4495138	7592517	15214562	1178386	38	2806	25433	19831	1286020	15542	15543	1254924
BFS/TD	Branch-avoiding	40	4493672	7642667	15340976	1191574	92	2302	25479	19889	1296712	15674	15678	1265346
BFS/TD	Branch-avoiding	41	4498409	7615157	15289610	1192130	116	1498	24224	18811	1292471	15708	15711	1261038
BFS/TD	Branch-avoiding	42	4259120	7236711	14587070	1092708	0	1502	21896	16681	1233421	15279	15279	1202853
BFS/TD	Branch-avoiding	43	3711660	6300646	12681200	964694	0	1862	19838	15200	1072138	13173	13170	1045788
BFS/TD	Branch-avoiding	44	3433799	5825607	11703230	900244	0	1899	18673	13731	989461	12158	12159	965133
BFS/TD	Branch-avoiding	45	2979262	5124147	10233008	809222	0	1450	16184	11554	865504	10938	10926	843642
BFS/TD	Branch-avoiding	46	2220046	3768494	7592923	590461	0	218	14171	8992	642045	7970	7968	626100
BFS/TD	Branch-avoiding	47	2050931	3473456	7074350	512131	68	758	12574	7487	598051	7301	7299	583443
BFS/TD	Branch-avoiding	48	1876884	3210324	6576367	473909	0	485	10403	6187	556044	6865	6864	542307
BFS/TD	Branch-avoiding	49	1676060	2843546	5828996	422155	0	302	9650	5969	492826	6059	6060	480696
BFS/TD	Branch-avoiding	50	1493502	2528790	5187811	363039	0	544	8767	4753	438567	5356	5352	427854
BFS/TD	Branch-avoiding	51	1376623	2346760	4817666	335171	0	82	7865	4459	407362	5042	5043	397266
BFS/TD	Branch-avoiding	52	1135834	1926101	4002511	260062	0	108	6622	3068	338469	4219	4218	330024
BFS/TD	Branch-avoiding	53	733433	1230660	2569537	162408	0	296	3704	1813	217749	3095	3099	211542
BFS/TD	Branch-avoiding	54	84077	144716	303883	18647	0	0	539	220	25812	413	414	24975
