Algorithm	Implementation	Iteration	Time	Cycles	Instructions	Stall.RS	Stall.SB	Stall.ROB	Cache references	Cache misses	Branches	Mispredictions	Vertices	Edges
BFS/TD	Branch-based	105	1115498	1914770	3093159	96456	32	12	19805	17059	868613	10272	8911	425391
BFS/TD	Branch-based	106	1123069	1894463	3063424	92322	12	70	20062	17026	860087	10122	8757	421282
BFS/TD	Branch-based	107	1118023	1933117	3102091	90779	109	14	20250	17284	871184	10197	8946	426641
BFS/TD	Branch-based	108	1101327	1874145	3032525	83222	32	0	21178	17358	851631	10020	8701	417110
BFS/TD	Branch-based	109	1065047	1847770	2977673	80960	53	3	20102	16823	836343	9799	8568	409599
BFS/TD	Branch-based	110	1055379	1774490	2891259	82269	36	27	19905	15795	811941	9529	8253	397713
BFS/TD	Branch-based	111	1045137	1772225	2876866	79939	29	0	19354	15813	807680	9545	8232	395603
BFS/TD	Branch-based	112	1064319	1829352	2938277	80047	49	21	19166	16084	824781	9763	8428	403958
BFS/TD	Branch-based	113	1090747	1873146	3054386	82102	44	0	19283	15961	857415	10095	8750	419953
BFS/TD	Branch-based	114	1145763	1935740	3145254	86643	94	49	20031	16382	883288	10401	9058	432581
BFS/TD	Branch-based	115	1121542	1903717	3089323	84884	29	0	19283	15706	867583	10224	8855	424932
BFS/TD	Branch-based	116	1085767	1861247	3021990	83267	147	1	18699	15582	848897	9971	8736	415708
BFS/TD	Branch-based	117	1031528	1741489	2835315	78533	10	0	17807	14347	796221	9434	8211	389895
BFS/TD	Branch-based	118	1003585	1707473	2804962	75964	100	0	17684	14175	787418	9233	7966	385738
BFS/TD	Branch-based	119	1051232	1792821	2907883	79412	206	4	17833	14248	816499	9643	8365	399880
BFS/TD	Branch-based	120	1038560	1784052	2916395	77406	142	0	17871	14115	818757	9638	8344	401030
BFS/TD	Branch-based	121	1065790	1808582	2985717	79962	15	30	17354	14067	838137	9899	8568	410496
BFS/TD	Branch-based	122	1095938	1856371	3062394	77842	227	0	16934	14486	860040	10132	8841	421174
BFS/TD	Branch-based	123	1074526	1838195	2994102	77826	15	43	17883	14677	840683	9859	8575	411762
BFS/TD	Branch-based	124	1050982	1816499	2988348	81233	18	0	17624	14449	839579	9814	8659	411126
BFS/TD	Branch-based	125	983588	1662461	2750321	67690	78	2	16555	12829	772580	9068	7945	378340
BFS/TD	Branch-based	126	931312	1578926	2600779	64877	105	25	15778	13031	730561	8574	7483	357793
BFS/TD	Branch-based	127	876984	1508218	2482073	57756	44	23	15825	11814	697185	8161	7119	341469
BFS/TD	Branch-based	128	834892	1437982	2384150	55429	79	155	14390	10831	669549	7860	6853	327917
BFS/TD	Branch-based	129	831876	1397186	2342431	53323	7	0	14339	10207	657887	7733	6720	322219
BFS/TD	Branch-based	130	798807	1365891	2284729	50990	70	16	13728	9881	641522	7542	6552	314204
BFS/TD	Branch-based	131	815511	1386378	2297175	46592	16	0	14519	10769	644951	7590	6580	315891
BFS/TD	Branch-based	132	817760	1397579	2296328	53815	16	0	14109	10440	644775	7727	6699	315684
BFS/TD	Branch-based	133	781687	1345979	2244262	49021	0	0	13944	9982	630223	7451	6503	308604
